sample_id,F0-Off
63379,297444.53
47998,414938.2
17319,4964.4
63159,44811.68
959,17666.26
17730,77389.16
20624,5600.08
40614,13827.14
6946,17779.85
10604,11916.33
53495,18449.04
65672,48212.62
21849,7873.26
48556,22620.46
49171,9522.53
55395,46981.38
33909,14629.9
41901,131820.67
67958,9867.66
7979,18032.18
12331,13794.01
10898,104680.8
14795,11257.05
20716,14951.75
28449,12990.16
7738,17605.8
56076,8976.26
48378,14609.69
58274,294952.28
53427,10285.36
39843,14136.47
40693,12922.24
57210,123851.09
49642,135853.38
68524,299766.97
7838,17618.02
25380,106848.12
19185,11679.48
3214,108155.3
2904,12339.89
48411,14599.66
41771,36749.15
32202,11372.16
12263,17808.03
11578,13526.72
443,87391.03
32298,12854.7
5101,103487.72
60768,121378.59
25450,94707.08
61349,48333.23
50875,35433.21
51072,49780.92
6977,17743.16
7158,12586.11
45197,122261.57
56746,9186.82
51752,9526.02
54190,34598.22
3996,89216.52
41119,50025.04
67600,121626.54
15430,101199.0
41856,59179.4
25059,18059.44
57681,9094.92
33029,12148.86
18197,16709.77
48424,14455.28
66179,9097.18
66028,300389.16
19045,4767.26
908,17663.02
8909,11276.22
51039,42628.42
29994,48120.94
57856,9088.88
44513,165698.48
65897,121509.45
67421,49269.18
33437,49237.24
57321,123246.11
21548,5229.64
44531,162146.92
52949,126016.12
17374,4963.86
64346,294993.5
4270,114314.71
44614,173922.95
5004,104022.39
35114,49161.17
44643,35573.52
51459,416468.0
48376,14240.3
59729,40040.9
48268,9570.44
44534,164838.98
66362,11206.09
59921,301197.1
3467,17998.18
65881,121841.34
12912,17778.01
1,17828.54
37529,38439.67
58654,9728.89
14646,5157.08
27907,16977.96
52987,126804.35
36346,12153.8
57394,301685.97
66820,299412.2
64900,61189.67
24900,17249.59
64903,53249.62
65807,121577.13
33565,13351.63
44274,19298.56
19401,84555.57
68117,11437.0
11176,17764.68
11248,17723.32
21979,80236.34
53966,205210.1
5291,18833.71
37089,12847.09
46022,48436.96
7501,81720.0
37997,12632.62
40197,48770.74
25665,108572.89
62061,9355.7
11323,17163.36
65381,9349.38
60117,8945.33
48322,9553.92
22178,96209.37
1392,80233.36
49703,131521.12
23310,16417.76
24152,16944.58
30895,12442.62
2716,17807.97
17191,5455.7
5005,130557.92
22270,97614.7
23093,86433.02
40804,15308.1
65299,9234.86
50932,43714.67
32850,12878.04
31980,12639.74
64814,55812.35
63301,121703.41
12818,117592.95
7072,17699.61
4766,92029.81
1931,17235.23
66243,9667.04
49269,22196.04
55312,8993.6
49248,20364.75
24647,103737.22
59780,125419.8
19477,85886.8
4997,105400.73
68449,120548.71
40204,47627.53
50701,35327.27
31900,13960.13
31566,37672.86
1830,17848.31
60780,285889.6
24056,17300.48
23492,4480.05
1987,16910.54
18807,108640.02
6594,106136.21
33482,13426.63
642,91572.34
13790,5454.8
3323,112454.59
46346,35856.18
8990,11221.88
9629,17092.62
51536,9560.43
45872,42359.56
57742,9105.31
24930,17734.64
56575,286637.3
48387,14239.46
33926,16397.13
33166,12962.47
9870,75388.51
52647,43541.99
44127,13041.45
55082,9204.99
21876,4115.16
32623,13451.69
13605,113652.98
54389,43380.8
12417,12996.38
26175,106783.62
26105,12156.67
30417,13696.31
53135,420108.44
32193,10770.62
25086,17425.0
17981,87546.98
28917,38559.78
66533,46747.04
46780,49090.62
36875,51343.26
21578,5213.33
9295,151090.8
17938,87162.23
43045,9194.46
43054,9182.25
15870,11960.54
8838,17674.41
6186,17931.07
3128,90874.56
51710,9612.11
33111,13223.24
13008,17420.98
27972,11750.59
7114,17748.58
37208,12381.2
36864,51149.7
37617,50025.31
7880,17986.1
64733,9907.86
67150,9297.66
53116,421525.8
19380,83631.88
52368,35643.43
52283,162294.61
13935,4955.71
12123,17934.02
47257,35793.36
29273,12998.34
8562,100745.96
29933,48718.02
40797,14502.13
43668,124157.21
38626,13179.11
21333,82936.06
13983,9087.99
52149,46123.46
55052,8803.67
3599,18000.96
62633,296674.56
57923,47525.45
40012,13195.27
27411,111817.51
7418,90279.88
34802,13127.22
62921,9355.18
35161,48873.6
2820,17872.7
54043,211849.06
23422,13148.07
33213,40850.13
32426,38354.49
59425,9136.5
14080,15267.27
43288,13167.54
27154,110762.8
35465,12386.68
57100,46353.74
1608,96524.3
324,12655.22
49998,35700.24
42429,17897.02
59072,309238.6
36352,12136.56
6496,86064.86
9531,17425.19
55640,308417.9
62334,43506.98
13158,15068.16
23381,5135.85
65555,9794.08
50617,393283.62
23192,8526.26
14174,82163.88
2617,18093.86
58985,124908.02
62592,295909.84
62784,9461.13
26136,11325.68
47504,42798.06
63611,9109.76
65808,121502.58
30075,13189.55
277,17955.36
55922,9086.93
24119,17263.6
14279,90613.91
45763,42561.55
37659,50385.0
56951,9112.49
16231,104197.57
68504,300093.97
59205,9194.9
34966,33329.51
32712,13383.8
14137,9020.8
31901,13089.24
30794,47834.92
25685,115103.86
7972,17951.8
37350,11976.49
33730,12349.13
29292,12955.83
26441,104157.94
12131,17933.25
23595,78726.7
39923,13856.33
13255,13933.49
6251,17834.38
58359,8923.5
53096,422468.03
17729,78286.11
16511,18117.8
63924,49284.34
8272,90571.52
62201,8862.26
20668,5597.77
47511,43106.84
9004,11136.21
65814,121875.66
21045,75717.61
4220,83140.7
20737,16655.87
1334,80112.51
56330,47929.74
34,17828.26
23084,86068.92
66670,121667.52
9461,17418.2
34083,39433.14
57606,9180.24
64018,38863.08
43839,9129.44
9410,88333.71
57546,9197.04
57613,9162.56
46727,42473.57
16375,17174.74
57960,50406.6
45863,42387.43
44819,35654.31
14894,17699.84
31146,12432.69
17350,6483.14
32388,38871.04
48721,39614.5
24781,101867.49
37514,39280.6
7009,17840.06
36921,13380.65
20773,10105.39
57796,9104.49
36786,51321.88
20959,7948.06
66122,9197.65
51027,42925.87
45536,35522.57
34781,13065.9
38400,32565.15
63400,297276.28
13996,5044.34
57386,302992.53
30275,12571.49
40996,37310.52
58372,8923.76
9822,10728.94
63383,296273.62
35188,13215.65
8649,17944.76
10222,97519.46
56036,9195.02
39455,48442.24
20696,9558.42
3452,17999.68
9548,17442.49
27826,12213.36
14919,4877.49
7599,88532.3
57503,9197.59
47580,42744.36
65024,121499.59
11198,17762.74
53624,13984.88
42154,9095.76
33484,13427.46
68339,47275.36
46155,125812.59
17217,6785.4
59935,302512.25
3117,90805.39
49447,20544.63
52656,43151.84
26109,12811.38
9317,151094.72
63524,9187.84
31109,12520.77
30091,13186.52
49782,35682.12
7989,18092.67
65689,47578.14
15738,12394.04
7222,12604.56
60950,9198.92
61198,9076.32
17997,126309.52
59499,9489.15
68173,11229.87
25822,17869.46
46809,49416.24
32275,13161.42
27433,111716.23
1248,12925.15
46867,49013.48
62442,122091.35
1024,18056.92
5483,11663.3
19554,86168.82
42949,8995.18
33468,13427.17
43818,9132.34
38250,12045.03
7037,17734.01
50002,35720.31
67933,9429.58
41883,36904.5
36402,12139.85
28610,12279.42
49190,9287.83
43108,9242.4
34297,47722.14
56781,9102.84
17414,11612.61
17052,111119.18
21297,94283.15
27452,111958.16
56660,9204.36
45870,42502.95
43134,9190.69
22397,18304.8
47122,411712.25
37007,13260.81
39275,34324.78
52728,43240.52
33731,12338.01
56112,9038.81
30170,12897.78
57182,46714.37
56293,48117.86
59409,9114.08
58652,9735.32
638,89680.84
58585,9305.36
62398,122070.5
46465,34830.37
50673,35345.34
63669,9536.59
62143,9263.06
51965,22735.49
3210,107024.21
2726,18089.39
1677,97687.9
21952,80698.76
10989,107320.41
29086,49508.04
46104,126807.95
20831,5003.63
41569,13315.12
37581,38981.2
35822,38412.31
12834,116112.62
9647,18358.48
20565,114770.98
32746,13208.05
11060,110999.82
38015,12622.03
67237,9815.45
43324,12704.9
1656,97496.38
47571,42677.55
11729,104931.16
36049,12427.31
41345,9240.48
27199,102730.17
36794,48874.49
21116,77037.44
63851,10053.33
56482,119724.28
64274,294647.34
24030,17446.37
54480,42237.33
733,84552.7
22423,9549.62
30106,13181.13
44780,35594.02
12977,17694.29
11219,17759.0
57921,47616.18
56825,9102.67
63104,44797.44
28133,35629.04
62674,9208.55
38810,12632.86
62910,9307.03
46888,48764.04
52252,137012.5
65864,121437.93
67710,300373.16
45920,48900.92
19382,94979.0
42270,9114.11
56105,9008.16
45533,35522.92
51084,48682.78
22638,16373.59
53560,20328.25
5706,76133.71
53585,14621.66
49066,9350.98
64128,122194.21
62287,43463.68
31329,17572.58
25288,12334.5
54476,42496.21
30317,14224.28
13869,5459.76
1146,13097.04
25726,106931.59
680,91854.46
37466,40281.22
67578,121641.45
34470,12665.65
67559,121199.28
47441,36079.03
51827,14305.81
30448,14252.82
55853,8865.86
33751,13432.79
46364,35854.95
47832,126769.96
15054,88178.61
48074,9570.82
67766,300498.9
52774,50104.5
18663,102888.44
30610,38123.03
4561,17003.9
2472,105245.43
63084,44626.15
5191,17474.87
25432,114256.0
1022,17956.1
31788,13205.15
48538,22465.64
44597,165317.72
8969,11265.53
36995,13316.32
51891,14188.18
6650,105965.88
27368,114229.48
20530,115390.91
67655,300376.47
43112,9198.11
20216,92283.77
33190,41126.61
12159,17784.94
32185,10656.79
63692,9364.54
53783,58931.33
17092,110230.42
26377,103907.34
39920,21692.08
9151,87500.69
50774,35862.74
10854,100983.58
1407,80378.67
30368,12807.63
65332,9151.52
42806,112060.88
28327,13280.24
30854,46995.58
51138,49749.98
65010,121950.41
46161,126498.95
9537,17430.18
10250,98019.78
54641,127139.45
17337,11485.4
50626,35347.76
24779,102257.4
19828,17073.56
20597,9565.26
37247,12461.38
59867,125497.72
58056,47412.14
28370,13275.98
63563,9183.56
61259,9472.35
36966,13372.52
17996,157147.06
17299,5467.19
34994,33991.72
9735,14685.93
59262,9194.84
55045,8802.97
62609,296721.2
13669,114140.09
61471,47976.14
1614,97801.05
48096,9569.67
13131,17604.52
67909,8986.42
32437,38527.26
53558,14256.16
14218,82164.64
42213,9107.81
11558,13752.44
17644,89963.28
50084,43602.0
24203,17997.27
54769,420237.38
8010,12647.64
29807,36399.75
31050,12453.06
12921,17776.91
2622,18093.24
1452,97909.05
43170,9146.7
50487,394560.28
60683,120207.77
34547,12659.48
17918,86942.16
7163,12669.3
